FPR,TPR,Threshold_ROC
0.0,0.0,inf
0.0,0.00267379679144385,0.949009022043866
0.0,0.0213903743315508,0.9340859159384513
0.001932367149758454,0.0213903743315508,0.9325335951107024
0.001932367149758454,0.02406417112299465,0.9299842759848661
0.002898550724637681,0.02406417112299465,0.9281738317722994
0.002898550724637681,0.026737967914438502,0.9281466498182401
0.003864734299516908,0.026737967914438502,0.9267055511713507
0.003864734299516908,0.040106951871657755,0.9216767627305339
0.004830917874396135,0.040106951871657755,0.9211370777857033
0.004830917874396135,0.045454545454545456,0.9200544777627017
0.005797101449275362,0.045454545454545456,0.9191051684092124
0.005797101449275362,0.0481283422459893,0.9158950678242543
0.00676328502415459,0.0481283422459893,0.915404196790136
0.00676328502415459,0.07219251336898395,0.9059719982036579
0.008695652173913044,0.07219251336898395,0.9033271514287612
0.008695652173913044,0.0748663101604278,0.9029739683961686
0.010628019323671498,0.0748663101604278,0.9022518138210582
0.010628019323671498,0.07754010695187166,0.9013774054717755
0.011594202898550725,0.07754010695187166,0.9005295570017245
0.011594202898550725,0.10962566844919786,0.895249642167574
0.012560386473429951,0.10962566844919786,0.8951831602683522
0.012560386473429951,0.13368983957219252,0.8888663221497163
0.01352657004830918,0.13368983957219252,0.888204975973888
0.01352657004830918,0.13636363636363635,0.8869421049210597
0.014492753623188406,0.13636363636363635,0.8868945747915671
0.014492753623188406,0.13903743315508021,0.8863713306224976
0.01932367149758454,0.13903743315508021,0.8849487046997097
0.01932367149758454,0.14171122994652408,0.8849199852884285
0.020289855072463767,0.14171122994652408,0.8848999338301602
0.020289855072463767,0.1443850267379679,0.8842405350163437
0.022222222222222223,0.1443850267379679,0.8830829824897823
0.02318840579710145,0.14705882352941177,0.8821727374370413
0.02318840579710145,0.15240641711229946,0.8819910837301619
0.024154589371980676,0.15240641711229946,0.8816007740436232
0.024154589371980676,0.19786096256684493,0.8691964851486536
0.025120772946859903,0.19786096256684493,0.869103200590438
0.025120772946859903,0.20320855614973263,0.8677664869008566
0.02608695652173913,0.20320855614973263,0.8669312079873253
0.02608695652173913,0.22727272727272727,0.8622773005800649
0.028019323671497585,0.22727272727272727,0.8602817203192616
0.028019323671497585,0.23796791443850268,0.856964261642947
0.028985507246376812,0.23796791443850268,0.8563205583232829
0.028985507246376812,0.24331550802139038,0.8553360316881898
0.02995169082125604,0.24331550802139038,0.8550958407742348
0.02995169082125604,0.25133689839572193,0.8538099180160873
0.03188405797101449,0.25133689839572193,0.8502398615142504
0.03188405797101449,0.2620320855614973,0.8449661344142367
0.035748792270531404,0.2620320855614973,0.8437529969575996
0.035748792270531404,0.2700534759358289,0.8421171325587079
0.03671497584541063,0.2700534759358289,0.8419100811484503
0.03671497584541063,0.27540106951871657,0.8402995650444401
0.03864734299516908,0.27540106951871657,0.8400784433151864
0.03864734299516908,0.28342245989304815,0.8383122629006833
0.03961352657004831,0.28342245989304815,0.8381158929457992
0.03961352657004831,0.2914438502673797,0.8358124420835097
0.043478260869565216,0.2914438502673797,0.8312142318779554
0.043478260869565216,0.2967914438502674,0.8309893515787296
0.044444444444444446,0.2967914438502674,0.8301644197388897
0.044444444444444446,0.3074866310160428,0.8279720166758474
0.04734299516908213,0.3074866310160428,0.8259737906677993
0.04734299516908213,0.31283422459893045,0.8244445143582383
0.04830917874396135,0.31283422459893045,0.8243989785255313
0.04830917874396135,0.3155080213903743,0.8233474625283159
0.04927536231884058,0.3155080213903743,0.8231987932383297
0.04927536231884058,0.3181818181818182,0.8220831736165082
0.050241545893719805,0.3181818181818182,0.8213040515301745
0.050241545893719805,0.32620320855614976,0.8176756528124078
0.051207729468599035,0.32620320855614976,0.8158235949848753
0.051207729468599035,0.32887700534759357,0.8157769825714809
0.05314009661835749,0.32887700534759357,0.8147528269263905
0.05314009661835749,0.339572192513369,0.8097263185456045
0.05410628019323672,0.339572192513369,0.8094791539442264
0.05410628019323672,0.3422459893048128,0.8091717572662845
0.05603864734299517,0.3422459893048128,0.8079480680971924
0.05603864734299517,0.3609625668449198,0.8006470702472375
0.057004830917874394,0.3609625668449198,0.800594799012548
0.057004830917874394,0.36363636363636365,0.8002418428450573
0.057971014492753624,0.36363636363636365,0.799744577820161
0.057971014492753624,0.3689839572192513,0.7988204197524622
0.05893719806763285,0.3689839572192513,0.7973031989373913
0.05893719806763285,0.37433155080213903,0.7957051259043822
0.06183574879227053,0.37433155080213903,0.7940586524870501
0.06183574879227053,0.3770053475935829,0.7933763687376245
0.06280193236714976,0.3770053475935829,0.7923342922993156
0.06280193236714976,0.38235294117647056,0.7921517646816325
0.06376811594202898,0.38235294117647056,0.7911024011760611
0.06376811594202898,0.39037433155080214,0.7890203142654164
0.0647342995169082,0.39037433155080214,0.788805285311848
0.0647342995169082,0.39572192513368987,0.7872244104325051
0.06570048309178744,0.39572192513368987,0.7860926504038109
0.06570048309178744,0.40106951871657753,0.783430452541122
0.06666666666666667,0.40106951871657753,0.7833542299380755
0.06666666666666667,0.42513368983957217,0.7762167390577653
0.06763285024154589,0.42513368983957217,0.7761858664408318
0.06763285024154589,0.42780748663101603,0.7758641470078362
0.07149758454106281,0.42780748663101603,0.7727383484252313
0.07149758454106281,0.4304812834224599,0.7712433839981205
0.07246376811594203,0.4304812834224599,0.7711051707712183
0.07246376811594203,0.4358288770053476,0.7701320275862771
0.07536231884057971,0.4358288770053476,0.768538392883239
0.07536231884057971,0.4385026737967914,0.767986788692953
0.07729468599033816,0.4385026737967914,0.767599285466651
0.07729468599033816,0.4411764705882353,0.7670177676917441
0.0782608695652174,0.4411764705882353,0.7652319882700122
0.0782608695652174,0.44385026737967914,0.7641114876902403
0.07922705314009662,0.44385026737967914,0.7638856540787284
0.07922705314009662,0.446524064171123,0.7637583577108328
0.08019323671497584,0.446524064171123,0.7635254665046454
0.08019323671497584,0.45187165775401067,0.763102882695432
0.0821256038647343,0.45187165775401067,0.7623531432913717
0.0821256038647343,0.45454545454545453,0.7617229885692682
0.08599033816425121,0.45454545454545453,0.7596094185421641
0.08599033816425121,0.4572192513368984,0.7551973906180163
0.08695652173913043,0.4572192513368984,0.7543938612355247
0.08695652173913043,0.4625668449197861,0.7514598442403041
0.08792270531400966,0.4625668449197861,0.7503728200992975
0.08792270531400966,0.47058823529411764,0.7481019038939304
0.08985507246376812,0.47058823529411764,0.7472413445512216
0.08985507246376812,0.4786096256684492,0.7458984049931272
0.09082125603864734,0.4786096256684492,0.7449365446636773
0.09082125603864734,0.48128342245989303,0.7445073029377481
0.09178743961352658,0.48128342245989303,0.7433404833407943
0.09178743961352658,0.4946524064171123,0.7349721012744942
0.0927536231884058,0.4946524064171123,0.7342551813169651
0.0927536231884058,0.5026737967914439,0.7321643960839676
0.09371980676328502,0.5026737967914439,0.731887437640586
0.09371980676328502,0.5080213903743316,0.7307388431808968
0.09565217391304348,0.5080213903743316,0.7303461408433625
0.09565217391304348,0.5106951871657754,0.7288837612047376
0.09758454106280193,0.5106951871657754,0.7278028214613022
0.09758454106280193,0.5133689839572193,0.7265925156720477
0.10048309178743961,0.5133689839572193,0.7248684634783377
0.10048309178743961,0.516042780748663,0.7245740158935947
0.10241545893719807,0.516042780748663,0.7232356683737393
0.10241545893719807,0.5187165775401069,0.7211839772669988
0.10338164251207729,0.5187165775401069,0.7204473731709179
0.10338164251207729,0.5213903743315508,0.7202609343005378
0.10531400966183575,0.5213903743315508,0.7202089295232681
0.10531400966183575,0.5267379679144385,0.7189444629146414
0.1111111111111111,0.5267379679144385,0.7156069043703853
0.1111111111111111,0.5294117647058824,0.7155624740940036
0.11304347826086956,0.5294117647058824,0.7136489879059078
0.11304347826086956,0.5320855614973262,0.7134657127184727
0.11594202898550725,0.5320855614973262,0.7129279132911799
0.11594202898550725,0.5374331550802139,0.7118930929472909
0.11690821256038647,0.5374331550802139,0.7118803448138754
0.11690821256038647,0.5427807486631016,0.710906514465772
0.1178743961352657,0.5427807486631016,0.7107175782990396
0.1178743961352657,0.5454545454545454,0.7091232768883083
0.11980676328502415,0.5454545454545454,0.7085466737797014
0.11980676328502415,0.5481283422459893,0.7074897303132431
0.12077294685990338,0.5481283422459893,0.7061324870039157
0.12077294685990338,0.5588235294117647,0.703629093860497
0.12367149758454106,0.5588235294117647,0.7030061899278507
0.12367149758454106,0.56951871657754,0.7008051571180579
0.1246376811594203,0.56951871657754,0.697418838507273
0.1246376811594203,0.5721925133689839,0.6972375674595144
0.1294685990338164,0.5721925133689839,0.6933903256061567
0.1294685990338164,0.5775401069518716,0.6922411725174457
0.1323671497584541,0.5775401069518716,0.6914620764401785
0.1323671497584541,0.5802139037433155,0.6912775967440482
0.13816425120772946,0.5802139037433155,0.6865366196175043
0.13816425120772946,0.5828877005347594,0.6863960893346485
0.1391304347826087,0.5828877005347594,0.6853142697395274
0.1391304347826087,0.5882352941176471,0.6809648715807849
0.14106280193236714,0.5882352941176471,0.6801036143082829
0.14106280193236714,0.5935828877005348,0.6778307917678256
0.14202898550724638,0.5935828877005348,0.6778069549234413
0.14202898550724638,0.5989304812834224,0.6770198205076033
0.14396135265700483,0.5989304812834224,0.6767197488050581
0.14396135265700483,0.606951871657754,0.6753615867345282
0.1468599033816425,0.606951871657754,0.6705269170622123
0.1468599033816425,0.6096256684491979,0.6700396653187869
0.14879227053140096,0.6096256684491979,0.6659210042219393
0.14879227053140096,0.6122994652406417,0.6653332394524906
0.15072463768115943,0.6122994652406417,0.6646671774419441
0.15072463768115943,0.6149732620320856,0.6642088345643823
0.15169082125603864,0.6149732620320856,0.6634354700435977
0.15169082125603864,0.6176470588235294,0.6629468792663313
0.15265700483091788,0.6176470588235294,0.6627685022711494
0.15265700483091788,0.6203208556149733,0.662569575753208
0.1536231884057971,0.6203208556149733,0.6619401210289801
0.1536231884057971,0.6229946524064172,0.6612214077443581
0.15845410628019324,0.6229946524064172,0.6540347085592865
0.15845410628019324,0.6256684491978609,0.6533680325601233
0.16135265700483092,0.6256684491978609,0.6528257415696513
0.16135265700483092,0.6310160427807486,0.6515824377971544
0.16231884057971013,0.6310160427807486,0.6515743412563372
0.16231884057971013,0.6336898395721925,0.6492425903893061
0.1671497584541063,0.6336898395721925,0.645469208169542
0.1671497584541063,0.6363636363636364,0.6445845417430712
0.1681159420289855,0.6363636363636364,0.6438996009284345
0.1681159420289855,0.6390374331550802,0.6428113532087355
0.16908212560386474,0.6390374331550802,0.6427114163372031
0.16908212560386474,0.6417112299465241,0.6424666126155305
0.17101449275362318,0.6417112299465241,0.6417539149150249
0.17101449275362318,0.6497326203208557,0.6399120239581582
0.1748792270531401,0.6497326203208557,0.6381277542631906
0.1748792270531401,0.6550802139037433,0.6373411439267459
0.17681159420289855,0.6550802139037433,0.6367984962001116
0.17681159420289855,0.660427807486631,0.6349172797796215
0.17777777777777778,0.660427807486631,0.6345428708718875
0.17777777777777778,0.6631016042780749,0.6344465543581062
0.18067632850241547,0.6631016042780749,0.633011575410947
0.18067632850241547,0.6684491978609626,0.6316923485158605
0.1826086956521739,0.6684491978609626,0.6307536667635112
0.1826086956521739,0.6737967914438503,0.6287837799708544
0.1855072463768116,0.6737967914438503,0.6263104835600241
0.1855072463768116,0.6764705882352942,0.6256106049629881
0.18743961352657004,0.6764705882352942,0.624318693676709
0.18743961352657004,0.679144385026738,0.6236263093004054
0.18840579710144928,0.679144385026738,0.6227741507715264
0.18840579710144928,0.6818181818181818,0.622405728061102
0.19033816425120773,0.6818181818181818,0.6176647385624138
0.19033816425120773,0.6951871657754011,0.6119806895997463
0.19903381642512077,0.6951871657754011,0.6029081119372796
0.19903381642512077,0.6978609625668449,0.6013309649429044
0.20193236714975846,0.6978609625668449,0.5981311350509244
0.20193236714975846,0.7005347593582888,0.5972338099211
0.2028985507246377,0.7005347593582888,0.596936387354379
0.2028985507246377,0.7032085561497327,0.5958699119682983
0.20676328502415459,0.7032085561497327,0.5937631778510021
0.20676328502415459,0.7058823529411765,0.5935773730944577
0.20966183574879227,0.7058823529411765,0.5927089687421618
0.20966183574879227,0.7112299465240641,0.5902053057252232
0.2135265700483092,0.7112299465240641,0.5874839572866236
0.2135265700483092,0.7192513368983957,0.5857107869960037
0.2144927536231884,0.7192513368983957,0.5854093427925802
0.2144927536231884,0.7219251336898396,0.5850038483527338
0.21545893719806763,0.7219251336898396,0.5849061790444415
0.21545893719806763,0.7245989304812834,0.5845139363467731
0.21642512077294687,0.7245989304812834,0.583353803100541
0.21642512077294687,0.7299465240641712,0.5808183616976584
0.22028985507246376,0.7299465240641712,0.5784868810329019
0.22028985507246376,0.7352941176470589,0.5777098841273424
0.2222222222222222,0.7352941176470589,0.5735828129433753
0.2222222222222222,0.7379679144385026,0.5732211053947142
0.22801932367149758,0.7379679144385026,0.5647218373529851
0.22801932367149758,0.7406417112299465,0.5633360637618429
0.2318840579710145,0.7406417112299465,0.5596524045713818
0.2318840579710145,0.7486631016042781,0.5547475216536608
0.23478260869565218,0.7486631016042781,0.5505041176912909
0.23478260869565218,0.7513368983957219,0.5498521937753703
0.23864734299516907,0.7513368983957219,0.5454409879609083
0.23864734299516907,0.7540106951871658,0.5450125116575484
0.24444444444444444,0.7540106951871658,0.5400356350406379
0.24444444444444444,0.7566844919786097,0.538853587823539
0.24541062801932367,0.7566844919786097,0.5386556527290741
0.24541062801932367,0.7593582887700535,0.5383820922705852
0.25217391304347825,0.7593582887700535,0.53276242023765
0.25217391304347825,0.7620320855614974,0.5313115889656523
0.2531400966183575,0.7620320855614974,0.5299345824942249
0.2531400966183575,0.767379679144385,0.5286701941498182
0.2560386473429952,0.767379679144385,0.5260882182778692
0.2560386473429952,0.7700534759358288,0.5257906838419848
0.2589371980676328,0.7700534759358288,0.5234712898661189
0.2589371980676328,0.7727272727272727,0.5232621351474643
0.26859903381642514,0.7727272727272727,0.5195582470241209
0.26859903381642514,0.7754010695187166,0.5181581859616756
0.2714975845410628,0.7754010695187166,0.5158033921885967
0.2714975845410628,0.7807486631016043,0.5154306196218402
0.2753623188405797,0.7807486631016043,0.5126688968378832
0.2753623188405797,0.7834224598930482,0.5105235518024264
0.2782608695652174,0.7834224598930482,0.5089661313746314
0.2782608695652174,0.786096256684492,0.5083060565468311
0.2821256038647343,0.786096256684492,0.5034557043672149
0.2821256038647343,0.7887700534759359,0.503094845263496
0.28405797101449276,0.7887700534759359,0.49692710147900865
0.28405797101449276,0.7941176470588235,0.494033586516377
0.28792270531400965,0.7941176470588235,0.4911336421418418
0.28792270531400965,0.7967914438502673,0.49110162695355203
0.293719806763285,0.7967914438502673,0.4852153963623841
0.293719806763285,0.8021390374331551,0.4832829927123074
0.2956521739130435,0.8021390374331551,0.479958231896902
0.2956521739130435,0.8048128342245989,0.47989937177856923
0.2966183574879227,0.8048128342245989,0.47740701377299827
0.2966183574879227,0.8074866310160428,0.4769895493244271
0.30241545893719807,0.8074866310160428,0.4643347189584575
0.30241545893719807,0.8155080213903744,0.46170877979463326
0.30531400966183575,0.8155080213903744,0.4599284282103501
0.30531400966183575,0.8181818181818182,0.4567693343370604
0.30821256038647343,0.8181818181818182,0.4515715630098787
0.30821256038647343,0.820855614973262,0.4514904676654419
0.30917874396135264,0.820855614973262,0.4505715681690772
0.30917874396135264,0.8262032085561497,0.44766769737510265
0.3111111111111111,0.8262032085561497,0.4473708340452151
0.3111111111111111,0.8288770053475936,0.44723590855745055
0.3120772946859903,0.8288770053475936,0.44652022874133257
0.3120772946859903,0.8315508021390374,0.444312106149387
0.3169082125603865,0.8315508021390374,0.4405088166113416
0.3169082125603865,0.8368983957219251,0.43868152126646404
0.31980676328502416,0.8368983957219251,0.4365737216517962
0.31980676328502416,0.8422459893048129,0.4362523910161595
0.32270531400966185,0.8422459893048129,0.4322957030792578
0.32270531400966185,0.8502673796791443,0.43014198033297985
0.32753623188405795,0.8502673796791443,0.42618539465770094
0.32753623188405795,0.8529411764705882,0.42526559199122116
0.3294685990338164,0.8529411764705882,0.42408849515742353
0.3294685990338164,0.8556149732620321,0.4239109346496583
0.33719806763285026,0.8556149732620321,0.41519468873662274
0.33719806763285026,0.8609625668449198,0.4136328511816771
0.33816425120772947,0.8609625668449198,0.4130171024177489
0.33816425120772947,0.8636363636363636,0.41268079443730143
0.3391304347826087,0.8636363636363636,0.4115493327574841
0.3391304347826087,0.8663101604278075,0.4103181828008644
0.34879227053140094,0.8663101604278075,0.39905196769631623
0.34879227053140094,0.8689839572192514,0.3984876486603512
0.3516908212560386,0.8689839572192514,0.39716506964723547
0.3516908212560386,0.8716577540106952,0.3954100588815743
0.357487922705314,0.8716577540106952,0.3920908692136818
0.357487922705314,0.8743315508021391,0.392021208534409
0.35845410628019325,0.8743315508021391,0.3915367626929812
0.35845410628019325,0.8796791443850267,0.39124279340593715
0.3671497584541063,0.8796791443850267,0.38212059086811856
0.3671497584541063,0.8823529411764706,0.38091482934556986
0.370048309178744,0.8823529411764706,0.37871930551323163
0.370048309178744,0.8850267379679144,0.37829342511133146
0.37294685990338167,0.8850267379679144,0.37780356311931584
0.37294685990338167,0.8877005347593583,0.37634760211511004
0.3855072463768116,0.8877005347593583,0.367638805995555
0.3855072463768116,0.8903743315508021,0.36761343045566325
0.3864734299516908,0.8903743315508021,0.36756268157608285
0.3864734299516908,0.893048128342246,0.3675373082366329
0.3893719806763285,0.893048128342246,0.36735971541130347
0.3893719806763285,0.8957219251336899,0.3673089812132654
0.3903381642512077,0.8983957219251337,0.36728361521637565
0.3903381642512077,0.9010695187165776,0.36710607382234794
0.391304347826087,0.9010695187165776,0.3669285684798489
0.391304347826087,0.9037433155080213,0.36653434288478576
0.3932367149758454,0.9037433155080213,0.365514940032218
0.3932367149758454,0.9064171122994652,0.3636615076607903
0.3961352657004831,0.9064171122994652,0.3626139228078676
0.3961352657004831,0.9090909090909091,0.36255720232262123
0.39903381642512076,0.9090909090909091,0.3592485360773284
0.39903381642512076,0.9117647058823529,0.35909623454514344
0.4057971014492754,0.9117647058823529,0.35335703069215607
0.4057971014492754,0.9144385026737968,0.35328740038408224
0.4106280193236715,0.9144385026737968,0.3473378641749923
0.4106280193236715,0.9171122994652406,0.3471548783016287
0.4115942028985507,0.9171122994652406,0.3464741481109132
0.4115942028985507,0.9197860962566845,0.34506314432679486
0.4241545893719807,0.9197860962566845,0.33429111044694926
0.4241545893719807,0.9224598930481284,0.3342645355607104
0.43285024154589374,0.9224598930481284,0.3256063939874777
0.43285024154589374,0.9251336898395722,0.32427906947856927
0.442512077294686,0.9251336898395722,0.31682782202928506
0.442512077294686,0.9278074866310161,0.31421371666386666
0.4599033816425121,0.9278074866310161,0.2949737169197097
0.4599033816425121,0.93048128342246,0.2929709166064979
0.4753623188405797,0.93048128342246,0.2808737149579471
0.4753623188405797,0.9331550802139037,0.2805160567154066
0.4782608695652174,0.9331550802139037,0.2796234301053369
0.4782608695652174,0.9358288770053476,0.2774367984165542
0.4792270531400966,0.9358288770053476,0.2745365354732956
0.4792270531400966,0.9385026737967914,0.2735102388038969
0.485024154589372,0.9385026737967914,0.26533176748200404
0.485024154589372,0.9411764705882353,0.2629566996741333
0.49468599033816424,0.9411764705882353,0.2527859105252033
0.49468599033816424,0.9438502673796791,0.25259085060613107
0.4995169082125604,0.9438502673796791,0.24533392781851632
0.4995169082125604,0.946524064171123,0.2450118453752646
0.5140096618357488,0.946524064171123,0.23707517983904122
0.5140096618357488,0.9491978609625669,0.23663459392401584
0.523671497584541,0.9491978609625669,0.22817433561922862
0.523671497584541,0.9518716577540107,0.2280134295815033
0.5256038647342995,0.9518716577540107,0.22725901167151108
0.5256038647342995,0.9545454545454546,0.22519401732655606
0.5342995169082125,0.9545454545454546,0.22177713138972888
0.5342995169082125,0.9572192513368984,0.21991543120225446
0.5429951690821256,0.9572192513368984,0.21572152710233702
0.5429951690821256,0.9625668449197861,0.213243366160169
0.5545893719806764,0.9625668449197861,0.20340528709057723
0.5545893719806764,0.9652406417112299,0.20281431696367005
0.5690821256038647,0.9652406417112299,0.18989336783918573
0.5690821256038647,0.9679144385026738,0.189579291803441
0.5710144927536231,0.9679144385026738,0.18709603155126434
0.5710144927536231,0.9705882352941176,0.1850264677370104
0.5990338164251208,0.9705882352941176,0.16658256034915275
0.5990338164251208,0.9732620320855615,0.16563994098645912
0.6,0.9732620320855615,0.1653301273258281
0.6,0.9759358288770054,0.1651685580933965
0.6048309178743961,0.9759358288770054,0.16302252031308948
0.6048309178743961,0.9786096256684492,0.1622302188851492
0.6270531400966184,0.9786096256684492,0.14918621135832624
0.6270531400966184,0.9812834224598931,0.14845564949659004
0.6434782608695652,0.9812834224598931,0.13998896737942704
0.6434782608695652,0.983957219251337,0.13996021920875493
0.6473429951690821,0.983957219251337,0.13820790558761872
0.6473429951690821,0.9893048128342246,0.13745102060874573
0.6647342995169082,0.9893048128342246,0.1264825886502126
0.6647342995169082,0.9919786096256684,0.1248254728994368
0.748792270531401,0.9919786096256684,0.09193251475987316
0.748792270531401,0.9946524064171123,0.09186032328256181
0.8821256038647343,0.9946524064171123,0.04348801160439089
0.8821256038647343,0.9973262032085561,0.04344379837259236
0.9719806763285024,0.9973262032085561,0.025810368823381773
0.9719806763285024,1.0,0.02577373845868721
1.0,1.0,0.0182484021971296
